,0,1,2,3,4,5,6,7,8,9,10,11,,0.098039216,9.803921569,,
94,60,69,62,59,65,67,65,68,68,62,57,64,,1.31372549,52.54901961,38.57421875,19.04296875
95,60,67,54,55,63,68,67,65,67,62,56,60,,1.333333333,53.33333333,41.015625,9.27734375
96,59,67,59,59,65,68,65,67,68,61,57,62,,1.333333333,53.33333333,41.015625,19.04296875
97,64,67,64,59,63,67,67,67,67,61,57,63,,1.31372549,52.54901961,38.57421875,19.04296875
98,60,68,58,59,64,68,68,67,69,60,57,67,,1.333333333,53.33333333,41.015625,19.04296875
99,60,68,61,54,64,68,68,67,68,59,57,65,,1.333333333,53.33333333,41.015625,6.8359375
100,59,68,57,63,64,67,68,68,68,63,57,63,,1.31372549,52.54901961,38.57421875,28.80859375
101,59,67,56,52,64,68,66,65,68,60,57,60,,1.333333333,53.33333333,41.015625,1.953125
102,58,67,57,56,65,68,65,66,67,64,57,59,,1.333333333,53.33333333,41.015625,11.71875
103,60,68,54,63,66,68,67,67,67,61,57,61,,1.333333333,53.33333333,41.015625,28.80859375
104,59,67,59,55,65,67,67,66,67,59,57,63,,1.31372549,52.54901961,38.57421875,9.27734375
105,59,67,57,61,64,67,66,66,67,60,57,62,,1.31372549,52.54901961,38.57421875,23.92578125
106,59,67,59,59,63,68,67,68,68,61,57,63,,1.333333333,53.33333333,41.015625,19.04296875
107,59,67,58,60,63,67,67,67,67,65,57,62,,1.31372549,52.54901961,38.57421875,21.484375
108,59,66,65,55,65,67,67,66,67,59,57,61,,1.31372549,52.54901961,38.57421875,9.27734375
109,59,67,60,58,63,67,64,65,67,62,57,58,,1.31372549,52.54901961,38.57421875,16.6015625
110,59,67,57,56,64,67,69,68,68,63,57,66,,1.31372549,52.54901961,38.57421875,11.71875
111,59,67,61,58,65,67,67,66,67,60,57,59,,1.31372549,52.54901961,38.57421875,16.6015625
112,59,67,60,52,65,67,67,64,67,61,56,61,,1.31372549,52.54901961,38.57421875,1.953125
113,59,67,57,58,63,67,66,66,67,61,57,63,,1.31372549,52.54901961,38.57421875,16.6015625
114,59,66,62,56,65,67,67,67,67,63,57,62,,1.31372549,52.54901961,38.57421875,11.71875
115,59,67,57,57,62,67,66,68,67,60,56,59,,1.31372549,52.54901961,38.57421875,14.16015625
