,0,1,7,
362,2619.949988,102,71,70
363,2621.799531,102,71,70
364,2622.748705,102,71,70
365,2623.806272,102,71,70
366,2624.838139,102,71,70
367,2625.851348,102,71,70
368,2626.788538,102,72,71
369,2627.801289,102,72,71
370,2628.805716,104,71,70
371,2629.851666,104,71,70
372,2630.875631,104,72,71
373,2631.941952,104,71,70
374,2633.697259,104,71,70
375,2634.723729,104,71,70
376,2635.816751,104,71,70
377,2636.814777,104,72,71
378,2637.813632,104,72,71
379,2638.921869,104,72,71
380,2639.905979,106,73,72
381,2640.958252,106,72,71
382,2642.910507,106,72,71
383,2643.793872,106,72,71
384,2644.927895,106,72,71
385,2646.968463,106,75,74
386,2648.862688,106,73,72
387,2649.93762,106,72,71
388,2651.771605,106,72,71
389,2652.902741,106,72,71
390,2653.787242,108,72,71
391,2654.901991,108,73,72
392,2655.862726,108,73,72
393,2656.935079,108,73,72
394,2658.884088,108,73,72
395,2659.81135,108,73,72
396,2660.953276,108,73,72
397,2662.979296,108,73,72
398,2664.797809,108,73,72
399,2665.807104,108,73,72
400,2666.862027,110,73,72
401,2667.763055,110,73,72
402,2668.88159,110,73,72
403,2669.861494,110,74,73
404,2671.022815,110,73,72
405,2672.794454,110,72,71
406,2673.968039,110,73,72
407,2675.940078,110,73,72
408,2678.125056,110,73,72
409,2679.798557,110,74,73
410,2680.943341,108,73,72
411,2683.047092,108,74,73
412,2684.993129,108,73,72
413,2686.783679,108,73,72
414,2687.951194,108,73,72
415,2689.794315,108,73,72
416,2690.899773,108,73,72
417,2692.00351,108,73,72
418,2693.782689,108,73,72
419,2694.855814,106,73,72
420,2695.801157,106,73,72
421,2696.789054,106,73,72
422,2697.782794,106,73,72
423,2698.787231,106,73,72
424,2699.933102,106,74,73
425,2701.967958,106,73,72
426,2703.945892,106,73,72
427,2705.968035,106,73,72
428,2708.017976,106,73,72
429,2709.996636,104,74,73
430,2711.836563,104,73,72
431,2712.908545,104,73,72
432,2714.005629,104,73,72
433,2715.879399,104,73,72
434,2716.852676,104,73,72
435,2717.820303,104,73,72
436,2718.904087,104,73,72
437,2719.913624,104,73,72
438,2721.070432,104,73,72
439,2723.078959,102,73,72
440,2725.013632,102,73,72
441,2726.917881,102,73,72
442,2727.952242,102,72,71
443,2729.964685,102,73,72
444,2732.007083,102,73,72
445,2733.992116,102,73,72
446,2736.005481,102,73,72
447,2738.061471,102,73,72
448,2739.973967,102,73,72
449,2741.924451,100,72,71
450,2743.875308,100,72,71
451,2745.032772,100,72,71
452,2746.882219,100,72,71
453,2748.111413,100,72,71
454,2749.995699,100,72,71
455,2751.88419,100,72,71
456,2753.064141,100,73,72
457,2754.839387,100,72,71
458,2755.926421,100,72,71
459,2757.837954,98,71,70
460,2758.716752,98,72,71
461,2759.790485,98,71,70
462,2760.757222,98,71,70
463,2761.876306,98,72,71
464,2763.000547,98,72,71
465,2764.923236,98,72,71
466,2765.789393,98,71,70
467,2766.896572,98,72,71
468,2768.103519,98,72,71
469,2769.907417,96,71,70
470,2770.921352,96,71,70
471,2771.923603,96,72,71
472,2773.878554,96,71,70
473,2774.808589,96,71,70
474,2776.008526,96,71,70
475,2777.692238,96,71,70
476,2778.858436,96,71,70
477,2779.923208,96,71,70
478,2780.899518,96,71,70
479,2781.885963,94,71,70
480,2783.038062,94,71,70
481,2784.9262,94,70,69
482,2786.915257,94,71,70
483,2787.866227,94,71,70
484,2788.935273,94,70,69
485,2790.942069,94,71,70
486,2792.939445,94,71,70
487,2794.947783,94,71,70
488,2796.883122,94,71,70
489,2798.109795,92,71,70
490,2799.95605,92,70,69
491,2801.828337,92,70,69
492,2802.926183,92,71,70
493,2804.950435,92,70,69
494,2806.984104,92,70,69
495,2808.872999,92,70,69
496,2809.992178,92,70,69
497,2811.924797,92,70,69
498,2813.987139,92,70,69
499,2815.950856,90,70,69
500,2817.915921,90,70,69
501,2818.923334,90,70,69
502,2820.849027,90,69,68
503,2821.883685,90,69,68
504,2822.835324,90,69,68
505,2823.796558,90,70,69
506,2824.872087,90,70,69
507,2825.950453,90,69,68
508,2828.063728,90,70,69
509,2829.921695,88,70,69
510,2830.879698,88,70,69
511,2831.811106,88,69,68
512,2832.826224,88,69,68
513,2833.903877,88,69,68
514,2834.991469,88,69,68
515,2836.984803,88,69,68
516,2838.855052,88,69,68
517,2839.893468,88,69,68
518,2840.997532,88,69,68
519,2843.045291,86,69,68
520,2845.063631,86,69,68
521,2846.800058,86,68,67
522,2847.96831,86,69,68
523,2849.804629,86,68,67
524,2850.983672,86,68,67
525,2852.902204,86,69,68
526,2853.862468,86,69,68
527,2854.877434,86,68,67
