,0,1,2,3,4,5,6,7,8,9,10,11,12
111,2303.142118,236.0,150.0,71.0,71.0,71.0,72.0,72.0,70.0,72.0,71.0,70.0,68.0
112,2304.137889,236.0,151.0,71.0,70.0,70.0,72.0,72.0,71.0,71.0,71.0,70.0,68.0
113,2305.137704,235.0,151.0,70.0,70.0,70.0,71.0,72.0,71.0,71.0,71.0,70.0,68.0
114,2306.137035,235.0,152.0,70.0,71.0,70.0,71.0,72.0,71.0,72.0,71.0,70.0,68.0
115,2307.138143,235.0,151.0,70.0,71.0,70.0,72.0,72.0,71.0,72.0,71.0,70.0,68.0
116,2308.138344,235.0,152.0,71.0,70.0,70.0,71.0,72.0,71.0,72.0,71.0,70.0,68.0
117,2309.137772,235.0,152.0,70.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,70.0,68.0
118,2310.137799,235.0,152.0,70.0,70.0,70.0,71.0,71.0,70.0,71.0,70.0,69.0,68.0
119,2311.137165,235.0,152.0,70.0,70.0,70.0,71.0,71.0,70.0,71.0,70.0,69.0,68.0
120,2312.137764,234.0,153.0,70.0,70.0,70.0,71.0,71.0,70.0,71.0,71.0,69.0,67.0
121,2313.137717,235.0,151.0,70.0,71.0,70.0,72.0,72.0,71.0,72.0,71.0,70.0,68.0
122,2314.137201,235.0,152.0,71.0,71.0,71.0,72.0,73.0,71.0,73.0,71.0,70.0,69.0
123,2315.137275,235.0,154.0,71.0,71.0,71.0,72.0,73.0,71.0,72.0,71.0,70.0,68.0
124,2316.137688,234.0,155.0,71.0,70.0,70.0,72.0,72.0,71.0,72.0,71.0,70.0,68.0
125,2317.137887,233.0,156.0,71.0,71.0,70.0,72.0,72.0,71.0,72.0,72.0,70.0,68.0
126,2318.137859,234.0,156.0,70.0,70.0,70.0,72.0,72.0,71.0,72.0,71.0,70.0,68.0
127,2319.137258,234.0,156.0,71.0,70.0,70.0,72.0,72.0,71.0,72.0,71.0,70.0,68.0
128,2320.137214,233.0,157.0,70.0,70.0,70.0,72.0,72.0,71.0,72.0,71.0,71.0,68.0
129,2321.137038,233.0,157.0,71.0,71.0,70.0,72.0,72.0,71.0,72.0,71.0,70.0,68.0
130,2322.137143,234.0,157.0,71.0,70.0,70.0,72.0,72.0,71.0,72.0,71.0,71.0,68.0
131,2323.137331,234.0,157.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,71.0,69.0
132,2324.137143,235.0,157.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,71.0,68.0
133,2325.13704,234.0,157.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,71.0,68.0
134,2326.137111,234.0,158.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,71.0,69.0
135,2327.136399,234.0,159.0,72.0,72.0,71.0,73.0,73.0,72.0,73.0,72.0,71.0,69.0
136,2328.137078,234.0,159.0,72.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,71.0,68.0
137,2329.137097,233.0,160.0,72.0,71.0,71.0,73.0,73.0,72.0,73.0,72.0,71.0,69.0
138,2330.137143,233.0,159.0,71.0,72.0,71.0,73.0,73.0,72.0,73.0,72.0,71.0,69.0
139,2331.137206,233.0,160.0,72.0,71.0,71.0,73.0,73.0,72.0,73.0,72.0,71.0,69.0
140,2332.137062,233.0,160.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,72.0,71.0,69.0
141,2333.137111,234.0,158.0,72.0,71.0,71.0,73.0,74.0,72.0,73.0,72.0,71.0,69.0
142,2334.137847,233.0,159.0,71.0,71.0,71.0,73.0,74.0,72.0,74.0,73.0,71.0,69.0
143,2335.137272,233.0,160.0,72.0,72.0,71.0,73.0,74.0,72.0,74.0,73.0,71.0,69.0
144,2336.137793,233.0,161.0,72.0,72.0,71.0,73.0,74.0,72.0,74.0,73.0,71.0,69.0
145,2337.137472,234.0,161.0,71.0,71.0,71.0,73.0,74.0,72.0,74.0,73.0,71.0,69.0
146,2338.143403,231.0,161.0,73.0,72.0,72.0,74.0,75.0,73.0,74.0,73.0,71.0,69.0
147,2339.137694,233.0,161.0,72.0,71.0,71.0,73.0,74.0,73.0,74.0,73.0,71.0,69.0
148,2340.13711,233.0,162.0,72.0,72.0,72.0,74.0,74.0,72.0,74.0,73.0,71.0,69.0
149,2341.137807,233.0,161.0,73.0,72.0,72.0,74.0,74.0,73.0,74.0,73.0,72.0,69.0
