,0,1,2,3,4,5,6,7,8,9,10,11,12
39,1926.371694,232.0,179.0,84.0,84.0,87.0,87.0,88.0,85.0,87.0,86.0,84.0,82.0
40,1926.496761,232.0,179.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,82.0
41,1926.621685,231.0,179.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,85.0,81.0
42,1926.746755,232.0,178.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,82.0
43,1926.871722,232.0,178.0,83.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,85.0,81.0
44,1926.99688,232.0,177.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,82.0
45,1927.121764,231.0,178.0,84.0,84.0,86.0,87.0,87.0,86.0,87.0,86.0,85.0,81.0
46,1927.247047,232.0,179.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
47,1927.371738,233.0,179.0,84.0,84.0,87.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
48,1927.496934,232.0,179.0,85.0,85.0,87.0,87.0,88.0,87.0,88.0,87.0,85.0,82.0
49,1927.621696,231.0,179.0,83.0,84.0,86.0,87.0,88.0,86.0,88.0,86.0,84.0,81.0
50,1927.747084,232.0,179.0,84.0,85.0,86.0,87.0,88.0,85.0,87.0,86.0,85.0,82.0
51,1927.871709,232.0,179.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
52,1927.996832,232.0,179.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,81.0
53,1928.121685,233.0,180.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,85.0,81.0
54,1928.245877,232.0,179.0,85.0,85.0,87.0,89.0,89.0,86.0,88.0,87.0,85.0,83.0
55,1928.371693,232.0,179.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
56,1928.496818,233.0,179.0,84.0,84.0,86.0,87.0,89.0,86.0,87.0,85.0,84.0,82.0
57,1928.62178,232.0,179.0,84.0,85.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
58,1928.746933,232.0,180.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,82.0
59,1928.871678,232.0,180.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
60,1928.996697,232.0,180.0,84.0,84.0,87.0,87.0,88.0,85.0,87.0,86.0,85.0,81.0
61,1929.121734,233.0,179.0,84.0,84.0,87.0,88.0,88.0,86.0,88.0,86.0,85.0,81.0
62,1929.247002,232.0,180.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,82.0
63,1929.37177,233.0,180.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,85.0,81.0
64,1929.496828,232.0,180.0,84.0,84.0,87.0,87.0,88.0,86.0,88.0,86.0,85.0,82.0
65,1929.621951,232.0,180.0,84.0,85.0,87.0,88.0,89.0,86.0,88.0,86.0,85.0,82.0
66,1929.746847,232.0,181.0,85.0,85.0,87.0,87.0,89.0,86.0,88.0,86.0,85.0,83.0
67,1929.871554,232.0,181.0,84.0,85.0,87.0,88.0,88.0,86.0,88.0,87.0,85.0,82.0
68,1929.998974,232.0,181.0,85.0,85.0,87.0,88.0,89.0,86.0,88.0,87.0,85.0,83.0
69,1930.121771,232.0,180.0,85.0,85.0,87.0,88.0,88.0,86.0,88.0,86.0,85.0,82.0
70,1930.247277,231.0,181.0,85.0,85.0,87.0,88.0,89.0,86.0,88.0,86.0,86.0,82.0
71,1930.371588,232.0,181.0,84.0,85.0,87.0,88.0,88.0,86.0,88.0,87.0,85.0,82.0
72,1930.496725,233.0,181.0,85.0,85.0,87.0,88.0,88.0,87.0,88.0,86.0,85.0,82.0
73,1930.621603,232.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
74,1930.746798,232.0,181.0,84.0,85.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,82.0
75,1930.871687,231.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
76,1930.996742,232.0,181.0,85.0,84.0,86.0,88.0,88.0,86.0,88.0,86.0,84.0,82.0
77,1931.121682,233.0,181.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,85.0,82.0
78,1931.246707,232.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,82.0
79,1931.371679,231.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
80,1931.496739,232.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
81,1931.621987,232.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
82,1931.747072,232.0,181.0,84.0,84.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,82.0
83,1931.871721,231.0,181.0,84.0,84.0,86.0,87.0,88.0,85.0,88.0,86.0,84.0,82.0
84,1931.996845,232.0,181.0,84.0,85.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
85,1932.121681,233.0,181.0,84.0,85.0,86.0,87.0,88.0,85.0,87.0,86.0,84.0,81.0
86,1932.246711,232.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,85.0,85.0,82.0
87,1932.371962,233.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,81.0
88,1932.496776,232.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
89,1932.621744,232.0,180.0,84.0,85.0,86.0,87.0,88.0,86.0,87.0,86.0,85.0,82.0
90,1932.74692,233.0,181.0,84.0,84.0,86.0,87.0,88.0,86.0,87.0,86.0,84.0,82.0
