,1,1,,2,2
416,2787.66285,108,69,68,68
417,2788.69887,108,68.6,67.6,67.6
418,2789.701271,108,68.6,67.6,67.6
419,2791.690231,106,69.4,68.4,68.4
420,2793.66621,106,69.4,68.4,68.4
421,2794.669904,106,69.4,68.4,68.4
422,2795.665805,106,69.6,68.6,68.6
423,2797.663184,106,69.4,68.4,68.4
424,2798.668823,106,68.6,67.6,67.6
425,2800.67671,106,68.4,67.4,67.4
426,2802.667508,106,69.8,68.8,68.8
427,2803.663804,106,67.6,66.6,66.6
428,2804.662811,106,68.6,67.6,67.6
429,2806.71391,104,69.2,68.2,68.2
430,2808.666872,104,68.8,67.8,67.8
431,2809.6746,104,68.6,67.6,67.6
432,2811.696898,104,68.6,67.6,67.6
433,2813.694149,104,67.6,66.6,66.6
434,2815.687493,104,69,68,68
435,2817.684678,104,69.4,68.4,68.4
436,2819.694017,104,67.6,66.6,66.6
437,2821.663664,104,69,68,68
438,2823.691872,104,69,68,68
439,2825.66758,102,69.2,68.2,68.2
440,2826.664928,102,69.6,68.6,68.6
441,2828.673755,102,68.4,67.4,67.4
442,2830.680218,102,68.2,67.2,67.2
443,2832.680425,102,69,68,68
444,2833.671355,102,69.8,68.8,68.8
445,2834.682554,102,68.8,67.8,67.8
446,2836.674196,102,69,68,68
447,2837.707226,102,68.8,67.8,67.8
448,2839.700084,102,70,69,69
449,2841.693128,100,69.6,68.6,68.6
450,2842.670251,100,69.4,68.4,68.4
451,2844.69564,100,70.2,69.2,69.2
452,2846.675058,100,70.2,69.2,69.2
453,2848.667609,100,68.8,67.8,67.8
454,2849.690729,100,70,69,69
455,2851.653368,100,68.6,67.6,67.6
456,2852.70254,100,69.2,68.2,68.2
457,2853.684291,100,69.6,68.6,68.6
458,2854.690857,100,69,68,68
459,2855.694288,98,67.8,66.8,66.8
460,2857.711262,98,69.4,68.4,68.4
461,2858.689455,98,69.6,68.6,68.6
462,2860.664216,98,69.4,68.4,68.4
463,2862.711842,98,69.8,68.8,68.8
464,2864.679294,98,69.2,68.2,68.2
465,2866.686324,98,69.2,68.2,68.2
466,2868.682775,98,69.6,68.6,68.6
467,2870.679777,98,69.4,68.4,68.4
468,2872.686336,98,68.6,67.6,67.6
469,2874.67844,96,68.6,67.6,67.6
470,2876.711147,96,68.6,67.6,67.6
471,2878.705272,96,69.4,68.4,68.4
472,2880.698567,96,70.2,69.2,69.2
473,2882.690311,96,69.6,68.6,68.6
474,2883.660645,96,69.6,68.6,68.6
475,2884.664733,96,69.6,68.6,68.6
476,2885.665225,96,70.2,69.2,69.2
477,2886.666231,96,70,69,69
478,2888.707835,96,68.8,67.8,67.8
479,2889.663313,94,70.2,69.2,69.2
480,2890.668946,94,70.4,69.4,69.4
481,2891.664762,94,69.2,68.2,68.2
482,2892.666154,94,69.6,68.6,68.6
483,2893.662522,94,69.8,68.8,68.8
484,2895.670157,94,70.4,69.4,69.4
485,2896.664156,94,69.8,68.8,68.8
486,2897.679549,94,69,68,68
487,2899.66498,94,69.6,68.6,68.6
488,2900.663781,94,69,68,68
489,2901.665578,92,68.4,67.4,67.4
490,2902.667266,92,69.2,68.2,68.2
491,2903.66307,92,69.6,68.6,68.6
492,2904.66274,92,71.2,70.2,70.2
493,2905.665449,92,69.2,68.2,68.2
494,2906.667782,92,70.2,69.2,69.2
495,2907.700611,92,70.4,69.4,69.4
496,2908.682445,92,69.4,68.4,68.4
497,2910.67712,92,70.2,69.2,69.2
498,2912.670947,92,69.4,68.4,68.4
499,2913.682733,90,69.4,68.4,68.4
500,2914.685688,90,70.2,69.2,69.2
501,2916.661133,90,70.8,69.8,69.8
502,2917.660299,90,70.8,69.8,69.8
503,2918.66924,90,68.8,67.8,67.8
504,2919.66728,90,70.2,69.2,69.2
505,2920.669429,90,69.4,68.4,68.4
506,2921.668541,90,70.8,69.8,69.8
507,2922.67881,90,70.8,69.8,69.8
508,2924.683953,90,70,69,69
509,2926.671568,88,69.2,68.2,68.2
510,2927.659313,88,69,68,68
511,2928.669994,88,69.2,68.2,68.2
512,2929.661448,88,69.2,68.2,68.2
513,2930.678596,88,68.6,67.6,67.6
514,2932.666681,88,69.2,68.2,68.2
515,2933.669472,88,70,69,69
516,2934.667041,88,68.2,67.2,67.2
517,2935.661767,88,70,69,69
518,2936.665539,88,70.6,69.6,69.6
519,2937.711067,86,69.8,68.8,68.8
520,2939.672361,86,70,69,69
521,2940.677195,86,69.4,68.4,68.4
522,2942.667608,86,69.6,68.6,68.6
523,2943.645188,86,70.4,69.4,69.4
524,2944.713066,86,70.8,69.8,69.8
525,2945.697464,86,70.4,69.4,69.4
526,2946.659668,86,70,69,69
527,2947.663928,86,70.8,69.8,69.8
528,2948.702635,86,69.4,68.4,68.4
529,2949.669338,84,69.8,68.8,68.8
530,2950.645181,84,70.8,69.8,69.8
531,2951.681043,84,70,69,69
532,2952.675737,84,71.6,70.6,70.6
533,2953.671069,84,70.2,69.2,69.2
534,2954.66076,84,71,70,70
535,2955.667539,84,69.8,68.8,68.8
536,2956.661014,84,70.8,69.8,69.8
537,2957.660128,84,71.2,70.2,70.2
538,2958.660558,84,70.2,69.2,69.2
539,2959.6609,82,70.4,69.4,69.4
540,2960.645114,82,69.8,68.8,68.8
541,2961.68713,82,69.6,68.6,68.6
542,2962.662029,82,71.4,70.4,70.4
543,2963.660401,82,70.6,69.6,69.6
544,2964.705144,82,71,70,70
545,2966.717078,82,71,70,70
546,2967.705956,82,71,70,70
547,2968.670767,82,70.4,69.4,69.4
548,2969.662786,82,70.8,69.8,69.8
549,2971.646752,80,69.8,68.8,68.8
550,2972.685651,80,70.8,69.8,69.8
551,2973.659182,80,70.4,69.4,69.4
552,2974.660828,80,70.4,69.4,69.4
553,2975.663538,80,70,69,69
554,2976.660981,80,70.4,69.4,69.4
555,2977.665134,80,70.2,69.2,69.2
556,2978.676256,80,70.4,69.4,69.4
557,2979.662639,80,70.4,69.4,69.4
558,2980.664685,80,69.8,68.8,68.8
559,2981.662185,78,70.8,69.8,69.8
560,2982.656626,78,69.8,68.8,68.8
561,2983.658676,78,70.8,69.8,69.8
562,2984.662161,78,70,69,69
563,2985.668759,78,71,70,70
564,2986.662095,78,69.8,68.8,68.8
565,2987.662009,78,70.4,69.4,69.4
566,2988.647439,78,71,70,70
567,2989.657735,78,71,70,70
568,2990.668683,78,70.2,69.2,69.2
569,2991.661306,76,70.8,69.8,69.8
570,2992.65665,76,70.6,69.6,69.6
571,2993.657749,76,71,70,70
572,2994.675498,76,71.2,70.2,70.2
573,2995.657577,76,71.2,70.2,70.2
574,2996.668407,76,70,69,69
575,2997.665842,76,69.8,68.8,68.8
576,2998.658948,76,69.6,68.6,68.6
577,2999.661445,76,70.6,69.6,69.6
578,3000.683675,76,71.4,70.4,70.4
579,3001.657464,74,71,70,70
580,3002.659693,74,71.2,70.2,70.2
581,3003.645558,74,71.6,70.6,70.6
582,3004.712033,74,71,70,70
583,3005.683914,74,71,70,70
584,3006.658065,74,71.4,70.4,70.4
585,3007.660338,74,71.6,70.6,70.6
586,3008.661875,74,70.2,69.2,69.2
587,3009.660318,74,71.8,70.8,70.8
588,3010.712127,74,71.2,70.2,70.2
589,3011.704991,72,71.8,70.8,70.8
590,3012.667327,72,71.2,70.2,70.2
591,3013.66439,72,71.4,70.4,70.4
592,3015.669142,72,71.2,70.2,70.2
593,3016.677269,72,70.8,69.8,69.8
594,3017.661817,72,71.8,70.8,70.8
595,3018.658656,72,71,70,70
596,3020.664302,72,72,71,71
597,3021.660925,72,71.6,70.6,70.6
598,3022.661944,72,70.8,69.8,69.8
599,3023.662124,70,72,71,71
600,3024.659315,70,70.4,69.4,69.4
601,3025.662536,70,71.2,70.2,70.2
602,3026.661616,70,70.8,69.8,69.8
603,3027.663302,70,72,71,71
604,3028.721279,70,70.4,69.4,69.4
605,3030.671899,70,71.4,70.4,70.4
606,3031.662648,70,71.6,70.6,70.6
607,3032.662439,70,71.6,70.6,70.6
608,3033.662166,70,72.8,71.8,71.8
609,3034.665239,68,70.4,69.4,69.4
610,3035.667935,68,71.8,70.8,70.8
611,3036.669062,68,70,69,69
612,3037.661426,68,71.2,70.2,70.2
613,3038.662321,68,72,71,71
614,3039.663393,68,72.2,71.2,71.2
615,3040.665156,68,71.2,70.2,70.2
616,3041.657745,68,70.2,69.2,69.2
617,3042.661805,68,72.2,71.2,71.2
618,3043.661062,68,72.4,71.4,71.4
619,3044.663069,66,70.8,69.8,69.8
620,3046.704279,66,72,71,71
621,3048.681681,66,72.8,71.8,71.8
622,3050.659482,66,72.8,71.8,71.8
623,3051.661119,66,72.2,71.2,71.2
624,3052.6647,66,72.2,71.2,71.2
625,3054.665381,66,71.4,70.4,70.4
626,3056.665972,66,72.8,71.8,71.8
627,3057.663757,66,71.2,70.2,70.2
628,3058.66562,66,72.6,71.6,71.6
629,3059.666173,64,72,71,71
630,3061.692925,64,72.8,71.8,71.8
631,3062.662715,64,71,70,70
632,3063.683614,64,72.4,71.4,71.4
633,3064.660742,64,72.8,71.8,71.8
634,3065.66849,64,71.8,70.8,70.8
635,3066.658415,64,71.4,70.4,70.4
636,3067.665234,64,71,70,70
637,3068.661664,64,71.6,70.6,70.6
638,3069.666489,64,71.6,70.6,70.6
639,3070.661888,62,72.6,71.6,71.6
640,3071.670192,62,71.6,70.6,70.6
641,3072.660076,62,72.6,71.6,71.6
642,3073.666825,62,71.4,70.4,70.4
643,3075.686821,62,72.2,71.2,71.2
644,3076.660864,62,70.2,69.2,69.2
645,3077.664831,62,73,72,72
646,3078.672051,62,71.8,70.8,70.8
647,3079.662346,62,71.4,70.4,70.4
648,3080.726393,62,72,71,71
649,3082.666111,60,73.4,72.4,72.4
650,3083.657026,60,73,72,72
651,3084.678766,60,72.6,71.6,71.6
652,3085.664591,60,72.4,71.4,71.4
653,3086.66877,60,72.4,71.4,71.4
654,3087.659506,60,71.8,70.8,70.8
